Transaction ID,Customer ID,Purchase Date,Product Category,Quantity,Price,Payment Method,Location
1,1127,2023-01-01 00:00:00.000000000,Toys,8,480.23,Digital Payment,Store A
2,1460,2023-01-01 00:52:25.274527452,Groceries,2,139.54,Cash,Store C
3,861,2023-01-01 01:44:50.549054905,Clothing,2,373.56,Credit Card,Store B
4,1295,2023-01-01 02:37:15.823582358,Groceries,5,212.42,Digital Payment,Store A
5,1131,2023-01-01 03:29:41.098109810,Electronics,1,245.56,Digital Payment,Store D
6,1096,2023-01-01 04:22:06.372637263,Furniture,6,402.24,Cash,Store A
7,1725,2023-01-01 05:14:31.647164716,Clothing,4,151.63,Digital Payment,Store D
8,1045,2023-01-01 06:06:56.921692169,Toys,6,52.92,Cash,Store D
9,1639,2023-01-01 06:59:22.196219621,Electronics,7,262.53,Cash,Store A
10,122,2023-01-01 07:51:47.470747074,Clothing,3,266.75,Cash,Store A
11,467,2023-01-01 08:44:12.745274527,Electronics,8,399.6,Cash,Store C
12,1239,2023-01-01 09:36:38.019801980,Toys,7,484.32,Digital Payment,Store A
13,331,2023-01-01 10:29:03.294329432,Clothing,1,32.37,Credit Card,Store A
14,1483,2023-01-01 11:21:28.568856885,Toys,6,297.89,Digital Payment,Store B
15,88,2023-01-01 12:13:53.843384338,Groceries,7,342.23,Credit Card,Store D
16,1397,2023-01-01 13:06:19.117911791,Toys,4,492.97,Digital Payment,Store D
17,1124,2023-01-01 13:58:44.392439243,Groceries,2,471.58,Cash,Store C
18,872,2023-01-01 14:51:09.666966696,Clothing,9,357.66,Digital Payment,Store B
19,1688,2023-01-01 15:43:34.941494149,Groceries,7,263.29,Cash,Store C
20,131,2023-01-01 16:36:00.216021602,Clothing,1,84.95,Digital Payment,Store A
21,1686,2023-01-01 17:28:25.490549054,Clothing,8,195.17,Cash,Store C
22,1333,2023-01-01 18:20:50.765076507,Furniture,3,294.64,Credit Card,Store D
23,770,2023-01-01 19:13:16.039603960,Clothing,4,363.97,Cash,Store B
24,344,2023-01-01 20:05:41.314131413,Groceries,5,319.52,Digital Payment,Store A
25,1516,2023-01-01 20:58:06.588658865,Furniture,1,358.49,Cash,Store B
26,1438,2023-01-01 21:50:31.863186318,Furniture,6,217.43,Credit Card,Store B
27,806,2023-01-01 22:42:57.137713771,Clothing,6,365.18,Credit Card,Store C
28,386,2023-01-01 23:35:22.412241224,Toys,2,76.15,Digital Payment,Store A
